SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
AARTIDRUGS,2003108,102.0,102.0,97.75,98.5,101472,34830
AARTIIND,2003108,168.4,170.8,162.3,164.1,123522,107442
ABANLLOYD,2003108,338.15,353.5,338.15,347.65,14852,9613
ABB,2003108,488.4,492.0,484.0,489.9,65125,50514
ABSHEKINDS,2003108,9.35,9.45,9.0,9.2,31256,25140
ABSIND,2003108,116.15,120.45,116.15,119.9,10503,8921
ACC,2003108,215.0,217.25,211.5,213.25,3941210,486376
ADANIEXPO,2003108,221.8,221.8,208.75,209.95,12849,4306
ADLABSFILM,2003108,68.0,68.8,66.05,66.3,14333,10482
ADVANIORLI,2003108,45.15,45.5,44.0,44.4,16955,13491
AGEEGOLD,2003108,28.0,28.0,23.05,23.3,1531,1331
AGREVOIND,2003108,231.25,233.9,230.0,232.0,2407,1896
AGRODUTCH,2003108,30.9,30.9,29.25,29.85,50368,46850
AHMEDELEC,2003108,70.05,72.55,67.0,68.45,65144,37544
AHMEDFORGE,2003108,59.5,59.5,57.15,57.2,10321,9565
AJANTPHARM,2003108,57.0,58.1,56.0,56.4,54432,30065
AKSHOPTFBR,2003108,19.35,19.35,19.0,19.25,32743,28363
ALBK,2003108,19.05,20.0,19.0,19.8,2090750,1181364
ALEMBICLTD,2003108,397.45,400.0,385.1,390.0,18749,9189
ALFALAVAL,2003108,404.5,405.0,397.0,398.5,1017,857
ALOKTEXT,2003108,31.0,34.6,31.0,33.25,5732583,2025599
ALPSINDUS,2003108,23.5,24.9,23.45,23.45,501,501
AMARAJABAT,2003108,71.4,71.4,65.9,66.8,24206,18591
AMBUJARAJN,2003108,6.85,6.85,6.4,6.45,240410,182952
AMTEKAUTO,2003108,225.1,229.0,219.1,226.6,16723,12353
AMTREXAPPL,2003108,23.5,23.9,22.55,22.8,7046,5905
ANDHRABANK,2003108,42.5,43.65,42.0,43.3,2447940,740123
ANDHRSUGAR,2003108,43.5,43.5,41.5,41.85,8552,7720
APCOTEXLAT,2003108,33.95,34.55,33.15,33.25,972,872
APIL,2003108,142.9,144.0,138.0,139.25,27867,13480
APOLLOHOSP,2003108,165.0,166.9,161.0,161.75,86045,37435
APOLLOTYRE,2003108,189.0,192.2,180.25,182.6,227814,100885
APTECHT,2003108,46.6,47.0,45.1,45.8,60641,32676
ARCHIES,2003108,63.2,63.8,62.35,63.0,6026,4525
ARHAMFISCL,2003108,6.45,6.55,6.0,6.3,17100,12175
ARVINDMILL,2003108,53.4,54.45,52.2,53.0,2834245,906045
ASAHIINDIA,2003108,95.5,96.0,94.3,95.8,17774,16170
ASHAPURMIN,2003108,102.6,102.6,85.55,92.0,551,450
ASHIMASYN,2003108,17.7,17.75,17.35,17.35,600,600
ASHKLEYFIN,2003108,56.0,56.0,55.25,55.45,17307,16695
ASHOKLEY,2003108,229.1,238.0,214.85,218.85,657640,281597
ASIANELEC,2003108,75.0,81.4,73.45,77.0,165615,138792
ASIANHOTEL,2003108,104.85,108.0,103.8,105.7,13735,9277
ASIANPAINT,2003108,303.0,305.0,302.0,304.65,20461,16685
ASTRAIDL,2003108,662.0,662.0,633.15,641.85,357,302
ATCOIND,2003108,11.4,11.4,10.95,11.0,32718,27355
ATFL,2003108,60.1,68.0,60.0,62.8,167617,63728
ATLASCYCLE,2003108,77.5,77.5,73.55,74.7,1105,755
ATNINT,2003108,3.95,4.1,3.85,3.9,96319,33326
ATULPROD,2003108,46.1,47.0,46.0,46.85,11063,7966
AUROPHARMA,2003108,594.0,705.0,590.0,691.35,371031,105268
