SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
3MINDIA,2005031,551.0,551.0,518.2,530.1,1711,913
AARTIDRUGS,2005031,135.15,151.0,135.15,146.2,100355,26647
AARTIIND,2005031,109.1,114.1,108.1,114.0,60804,36644
ABANLOYD,2005031,1612.1,1651.0,1612.1,1632.0,12764,6245
ABB,2005031,1307.8,1307.8,1265.0,1274.65,25423,9230
ABSIND,2005031,129.6,134.0,129.6,132.3,6860,4706
ACC,2005031,368.0,370.15,361.6,362.6,1163749,282804
ADANIEXPO,2005031,77.75,77.75,74.25,75.2,468367,17127
ADLABSFILM,2005031,122.0,123.45,111.0,118.4,45707,23403
ADORWELD,2005031,90.5,92.3,90.0,90.35,27274,17613
AFTEKINFO,2005031,73.5,73.5,71.25,71.45,84841,51479
AGEEGOLD,2005031,25.75,25.75,23.05,24.3,1300,870
AGRODUTCH,2005031,43.85,44.95,42.25,43.25,155732,71739
AHMEDELEC,2005031,145.85,145.95,142.3,145.1,61404,48195
AHMEDFORGE,2005031,200.05,200.05,195.4,196.1,12204,9216
AJANTPHARM,2005031,58.0,59.0,56.5,57.2,43333,20587
ALBK,2005031,73.5,73.9,72.0,73.05,1587574,624452
ALEMBICLTD,2005031,308.7,314.7,304.25,308.75,59202,23666
ALFALAVAL,2005031,726.05,760.0,715.0,746.15,2527,2155
ALOKTEXT,2005031,67.5,68.7,66.55,67.1,1718156,495137
ALPSINDUS,2005031,101.0,102.9,97.7,98.2,81579,37657
AMBICAAGAR,2005031,27.9,27.95,25.7,25.9,99798,27985
AMITSPIN,2005031,8.75,9.15,8.75,8.85,51923,42491
AMTEKAUTO,2005031,174.75,175.2,163.6,165.5,104308,78161
AMTREXAPPL,2005031,42.0,43.0,39.3,39.7,94617,55464
ANDHRABANK,2005031,93.0,96.6,91.2,95.6,10360548,1835081
ANDHRSUGAR,2005031,140.5,141.9,131.2,133.25,344302,87594
APARINDS,2005031,124.95,124.95,119.0,119.65,4569,3044
APCOTEXLAT,2005031,46.3,47.0,46.0,46.15,2026,1440
APIL,2005031,171.1,172.0,145.1,170.6,102921,51171
APOLLOHOSP,2005031,311.35,325.9,307.0,322.9,441267,116560
APOLLOTYRE,2005031,301.2,309.9,296.6,299.4,522821,240045
APPAPER,2005031,116.6,117.75,116.5,117.3,12030,10920
APTECHT,2005031,40.9,40.9,39.9,40.0,122817,81125
ARCHIES,2005031,78.3,81.4,76.0,78.65,32339,9205
ARSBONDS,2005031,106.15,106.5,106.15,106.42,51900,51900
ARVINDMILL,2005031,128.6,130.8,127.5,128.45,3572899,1034341
