SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
3IINFOTECH,20050913,132.3,133.75,130.1,130.8,588826,163500
3MINDIA,20050913,929.95,990.0,911.0,927.3,2506,1872
AARTIIND,20050913,156.0,160.85,152.0,153.9,242396,203783
ABANLOYD,20050913,599.95,600.95,585.0,587.05,17700,13384
ABB,20050913,1825.0,1849.65,1815.05,1829.65,59411,40388
ABSHEKINDS,20050913,38.15,40.6,37.65,39.8,2146728,771222
ACC,20050913,477.0,479.5,471.5,472.6,391524,182081
ADANIEXPO,20050913,67.9,67.9,67.0,67.1,463023,61142
ADLABSFILM,20050913,343.0,343.0,334.0,335.85,70734,24283
ADORWELD,20050913,279.9,282.95,278.1,280.8,18425,13127
AEGISCHEM,20050913,167.0,174.9,167.0,174.9,26863,20282
AFTEKINFO,20050913,135.0,139.9,133.0,136.0,5807422,1309643
AGRODUTCH,20050913,69.6,70.25,68.9,69.2,68675,36055
AHMEDFORGE,20050913,525.0,537.15,517.0,537.15,85119,41029
AJANTPHARM,20050913,97.7,98.4,94.9,95.5,50039,29747
AKSHOPTFBR,20050913,70.8,71.0,69.4,69.65,270273,134088
ALBK,20050913,95.0,95.7,94.0,94.35,924659,472711
ALEMBICLTD,20050913,275.6,282.0,275.6,280.65,27903,23936
ALFALAVAL,20050913,897.0,918.0,892.0,911.3,2236,1264
ALLSEC,20050913,201.0,201.0,193.0,194.6,18012,14394
ALOKTEXT,20050913,84.0,85.95,83.55,84.3,2261477,622994
ALPSINDUS,20050913,155.5,160.8,154.25,155.2,103170,41152
AMBICAAGAR,20050913,23.15,23.45,22.8,22.95,59573,39575
AMTEKAUTO,20050913,242.0,255.0,239.5,251.6,298688,203597
ANDHRABANK,20050913,102.2,103.4,101.2,102.55,793960,274325
ANDHRSUGAR,20050913,173.5,181.0,172.05,177.85,401426,208232
ANTGRAPHIC,20050913,7.55,8.95,7.0,8.7,681406,262207
APARINDS,20050913,248.0,253.0,233.5,235.0,39317,31934
APCOTEXLAT,20050913,70.45,72.25,70.45,71.75,3147,2102
APIL,20050913,208.9,209.5,205.0,205.25,105972,65217
APOLLOHOSP,20050913,400.0,402.0,391.0,400.15,28277,19123
APOLLOTYRE,20050913,280.5,286.95,280.5,283.8,166703,137415
APPAPER,20050913,130.1,132.1,129.05,129.9,28603,19270
APTECHT,20050913,105.0,106.7,104.0,104.6,2010740,467484
ARCHIES,20050913,159.0,159.8,156.5,157.35,26360,21243
ARSBONDS,20050913,105.01,106.73,105.01,106.3,192168,175095
ARVINDMILL,20050913,138.0,142.0,136.8,139.8,2796154,1105099
ASAHIINDIA,20050913,82.9,83.0,81.5,82.3,221991,140244
ASAL,20050913,135.0,135.0,128.1,129.2,24801,18363
ASHAPURMIN,20050913,541.0,589.0,539.95,570.2,9726,6281
ASHOKLEY,20050913,30.1,30.45,29.75,30.25,7246369,3215320
ASIANHOTEL,20050913,438.5,438.9,431.0,432.0,1035,784
ASIANPAINT,20050913,495.0,501.0,491.3,499.4,32968,31207
ASTRAIDL,20050913,1900.0,1910.0,1896.0,1896.45,557,522
ASTRAMICRO,20050913,2648.0,2729.8,2565.0,2729.8,11487,8114
ATFL,20050913,95.8,97.3,95.55,96.3,92826,52748
ATLASCYCLE,20050913,151.0,152.5,149.6,150.2,5191,4119
ATNINT,20050913,7.0,7.6,6.8,7.6,513946,291413
ATUL,20050913,120.5,120.5,116.0,117.35,122690,85378
AUROPHARMA,20050913,369.85,372.5,362.0,364.75,172319,140201
AUTOAXLES,20050913,502.8,505.0,493.0,500.75,8823,5733
AVAYAGCL,20050913,370.0,372.0,362.0,363.6,33594,24859
AVENTIS,20050913,1493.95,1500.0,1465.05,1493.6,2965,2309
AZTEC,20050913,146.55,146.65,138.5,140.3,311761,150999
BAGFILMS,20050913,16.05,17.35,16.0,16.85,2111878,847861
BAGYAMETAL,20050913,40.4,40.6,39.1,39.55,357969,171753
BAJAJAUTO,20050913,1588.55,1654.0,1545.0,1634.8,195270,88588
BAJAJHIND,20050913,217.95,219.0,214.2,217.65,245024,144906
BAJAUTOFIN,20050913,287.0,290.0,280.05,288.65,16095,14587
BALAJITELE,20050913,137.45,138.9,134.8,135.75,48209,25801
BALASPONGE,20050913,46.5,49.2,46.4,47.15,265072,140118
BALASTEELS,20050913,24.95,28.15,24.6,26.45,1439746,623608
BALMLAWRIE,20050913,420.55,441.0,412.1,437.8,29080,23363
BALRAMCHIN,20050913,85.5,85.8,84.5,84.8,750008,497418
BANARISUG,20050913,810.0,825.0,800.25,816.4,1536,1397
BANKBARODA,20050913,260.0,266.7,257.1,265.5,1174274,444183
BANKBEES,20050913,450.0,450.0,442.0,442.0,151,150
BANKINDIA,20050913,131.0,133.75,129.2,132.05,3026235,1191635
BANKPUNJAB,20050913,39.8,40.8,39.5,40.5,526507,285546
BANKRAJAS,20050913,63.1,63.5,61.9,62.15,1252150,499240
BASF,20050913,229.95,231.0,222.55,224.2,43070,25173
BATAINDIA,20050913,152.0,152.3,147.1,147.5,414614,187809
BBTC,20050913,245.0,254.0,245.0,246.3,5824,4513
BEL,20050913,761.5,775.0,754.05,768.65,26548,20896
BELCERAMIC,20050913,42.9,42.95,41.15,42.05,621163,320421
BEML,20050913,806.0,810.0,796.25,801.85,30991,19115
BEPL,20050913,36.0,36.0,34.1,34.25,12434,7804
BERGEPAINT,20050913,62.8,62.8,61.25,61.6,152785,111398
BGFL,20050913,155.9,155.9,155.9,155.9,480,480
BHARATFORG,20050913,330.15,337.0,326.5,334.2,774694,371231
