SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
3MINDIA,2005033,540.0,545.0,529.0,533.05,1340,1190
AARTIDRUGS,2005033,148.0,152.0,144.5,148.95,125767,20097
AARTIIND,2005033,122.85,125.65,120.25,125.6,197508,69872
ABANLOYD,2005033,1680.0,1724.9,1670.0,1707.2,13146,8730
ABB,2005033,1284.0,1300.0,1277.1,1289.95,39961,27434
ABSIND,2005033,134.3,134.85,130.4,131.65,19089,13871
ACC,2005033,369.0,372.5,368.0,371.95,909494,243068
ADANIEXPO,2005033,77.0,77.0,75.5,75.85,512068,25433
ADLABSFILM,2005033,120.0,127.7,120.0,126.5,162991,112667
ADORWELD,2005033,91.05,95.85,91.05,93.5,93560,47862
AFTEKINFO,2005033,71.75,72.1,70.85,71.15,110671,73543
AGEEGOLD,2005033,24.5,24.95,24.15,24.3,3638,2700
AGRODUTCH,2005033,44.5,45.4,44.15,44.7,131918,68985
AHMEDELEC,2005033,148.9,150.65,144.5,145.2,66650,37245
AHMEDFORGE,2005033,200.0,204.85,199.0,200.6,18483,11163
AJANTPHARM,2005033,58.0,60.0,58.0,59.25,61847,31432
ALBK,2005033,76.2,77.4,76.0,76.55,1524765,796567
ALEMBICLTD,2005033,313.85,313.85,310.0,310.55,43909,13591
ALFALAVAL,2005033,730.0,770.0,730.0,767.4,3560,3224
ALOKTEXT,2005033,66.5,67.9,66.2,67.55,1773689,613897
ALPSINDUS,2005033,100.95,107.25,99.6,105.95,454673,66213
AMBICAAGAR,2005033,25.95,26.65,25.7,25.85,85288,26435
AMITSPIN,2005033,9.0,9.75,9.0,9.1,118004,82426
AMTEKAUTO,2005033,168.0,170.3,165.0,169.15,238646,188697
AMTREXAPPL,2005033,41.5,41.5,39.0,39.7,25781,17100
ANDHRABANK,2005033,99.9,102.0,98.25,101.5,8433887,2491800
ANDHRSUGAR,2005033,132.9,136.5,132.5,134.05,213016,85958
APARINDS,2005033,120.2,131.95,120.2,131.95,29590,24419
APCOTEXLAT,2005033,45.75,47.45,45.75,47.1,2069,1325
APIL,2005033,173.0,178.75,173.0,175.55,102839,56655
