SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
3IINFOTECH,20060511,199.9,207.8,197.0,201.0,582562,236303
3MINDIA,20060511,1420.0,1465.0,1400.1,1434.2,471,338
AARTIDRUGS,20060511,89.0,90.5,85.05,88.7,32333,14693
AARTIIND,20060511,73.05,74.4,72.1,73.35,43320,32622
ABANLOYD,20060511,1435.0,1445.0,1401.0,1420.65,24635,12151
ABB,20060511,3196.5,3297.0,3196.5,3244.0,27953,12268
ABIRLANUVO,20060511,908.0,908.45,880.0,883.75,7581,4997
ABSHEKINDS,20060511,32.0,32.35,31.25,31.5,446433,274795
ACC,20060511,1004.0,1004.0,950.25,964.95,1342120,453797
ADANIEXPO,20060511,149.7,153.45,145.05,153.45,2072038,829580
ADHUNIK,20060511,41.25,42.0,40.75,41.25,131608,71587
ADLABSFILM,20060511,382.0,382.0,374.0,375.95,67035,23250
ADORWELD,20060511,475.0,482.0,475.0,479.6,8589,7550
AEGISCHEM,20060511,273.0,274.9,265.0,267.4,18335,11517
AFTEKINFO,20060511,94.8,94.9,88.3,89.0,683145,253701
AGRODUTCH,20060511,38.5,38.5,35.75,35.9,111075,62192
AIAENG,20060511,669.75,689.5,645.1,670.9,96461,56127
AJANTPHARM,20060511,92.2,92.2,87.9,88.45,33905,23749
AKSHOPTFBR,20060511,81.0,84.0,77.45,80.15,277904,93024
ALBK,20060511,91.0,92.05,87.05,87.85,2648579,1618813
ALEMBICLTD,20060511,385.0,390.0,380.0,383.9,1510,1230
ALFALAVAL,20060511,1130.0,1150.0,1130.0,1140.9,805,784
ALLSEC,20060511,261.0,272.0,257.0,265.7,9639,8081
ALOKTEXT,20060511,97.25,99.35,92.15,93.0,1433764,362963
ALPSINDUS,20060511,252.8,255.5,246.1,252.85,75006,32805
AMAR,20060511,89.15,90.4,88.0,88.1,119689,47012
AMARAJABAT,20060511,277.0,279.7,270.0,270.95,14770,8099
AMBICAAGAR,20060511,14.0,14.25,13.75,14.1,13278,12108
AMTEKAUTO,20060511,356.0,356.0,334.05,336.05,64482,46954
AMTEKINDIA,20060511,148.8,148.8,141.25,142.1,115314,84800
ANDHRABANK,20060511,88.0,89.0,86.7,87.45,1043131,610076
ANDHRSUGAR,20060511,234.0,235.7,221.05,226.7,61507,31131
ANTGRAPHIC,20060511,0.5,0.5,0.45,0.45,367313,215213
APARINDS,20060511,276.0,282.8,261.0,265.9,4803,3221
APCOTEXLAT,20060511,58.5,64.0,54.35,57.9,21345,12200
APIL,20060511,352.9,352.9,344.05,345.55,58942,26012
APOLLOHOSP,20060511,490.0,490.0,475.05,479.3,13090,9839
APOLLOTYRE,20060511,323.0,324.0,318.0,320.05,18154,14469
APPAPER,20060511,144.0,144.0,137.0,138.4,6700,5840
APTECHT,20060511,122.0,124.5,121.0,121.75,152069,62397
ARCHIES,20060511,187.0,187.6,176.05,179.25,78662,33365
ARL,20060511,2.0,2.1,1.95,1.95,244155,178914
ARSBONDS,20060511,100.0,100.5,99.8,99.86,60454,60454
ARVINDMILL,20060511,99.5,99.5,94.6,95.3,609856,227469
ASAHIINDIA,20060511,101.05,102.0,100.0,100.3,83754,79586
ASAL,20060511,113.65,113.65,109.55,110.0,2948,2848
ASHAPURMIN,20060511,285.0,289.0,275.5,278.95,20867,15750
ASHOKLEY,20060511,51.0,51.35,49.5,49.9,5954949,2365551
ASIANELEC,20060511,560.0,579.0,530.6,549.1,125713,75762
ASIANHOTEL,20060511,627.6,650.0,627.6,639.75,1438,1162
ASIANPAINT,20060511,662.5,662.5,631.0,636.45,28967,20554
ASTRAIDL,20060511,4620.0,4650.0,4545.0,4596.15,260,170
ASTRAMICRO,20060511,210.0,249.9,209.0,229.8,1551321,795107
ATFL,20060511,155.6,155.6,148.3,149.55,64220,18542
ATNINT,20060511,4.0,4.0,3.7,3.7,148354,89811
ATUL,20060511,173.55,174.6,162.1,164.7,144721,43763
AURIONPRO,20060511,122.95,122.95,114.05,115.85,19244,10956
AUROPHARMA,20060511,684.6,724.0,684.6,709.45,44404,38098
AUTOAXLES,20060511,634.95,639.95,626.0,627.5,2014,1171
AVAYAGCL,20060511,430.0,430.0,420.25,422.15,4956,4216
AVENTIS,20060511,1980.0,1998.0,1950.0,1956.0,4570,4536
AZTEC,20060511,198.5,203.0,196.2,197.5,38137,21818
BAGFILMS,20060511,12.4,12.45,11.9,12.0,176641,132780
BAGYAMETAL,20060511,86.5,86.55,82.65,86.55,533895,308270
BAJAJAUTO,20060511,3177.0,3228.0,3135.05,3145.9,83599,40865
BAJAJHIND,20060511,523.0,551.95,523.0,537.3,483105,274894
BAJAUTOFIN,20060511,505.0,510.0,499.25,499.6,5166,3560
BALAJITELE,20060511,177.8,177.8,168.0,170.05,18678,13921
