SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
3IINFOTECH,20060818,169.95,172.4,165.0,168.95,364116,125553
3MINDIA,20060818,1190.0,1200.0,1163.0,1196.3,256,235
AARTIDRUGS,20060818,84.0,84.55,82.35,82.95,3585,1568
AARTIIND,20060818,34.55,34.55,33.75,33.85,52961,43526
ABAN,20060818,1248.4,1259.0,1195.0,1222.9,58620,32969
ABB,20060818,2790.0,2839.0,2781.0,2832.2,93180,30017
ABIRLANUVO,20060818,784.0,810.0,777.8,802.65,18799,13473
ABSHEKINDS,20060818,21.3,21.7,21.15,21.45,123930,78969
ACC,20060818,890.4,907.0,889.0,903.0,1150250,285940
ADANIEXPO,20060818,136.0,137.0,127.4,130.95,211423,98044
ADHUNIK,20060818,26.55,27.4,26.55,27.15,106665,92504
ADLABSFILM,20060818,279.9,284.0,271.2,272.75,171946,45964
ADORWELD,20060818,342.0,342.0,331.0,336.45,6194,5109
AEGISCHEM,20060818,164.7,164.7,158.0,159.5,8965,4327
AFTEKINFO,20060818,64.45,66.0,63.55,64.0,3601942,701620
AGRODUTCH,20060818,24.5,24.5,23.55,23.95,41270,28551
AHMEDFORGE,20060818,194.0,197.0,182.15,183.75,43751,30212
AIAENG,20060818,803.0,803.0,770.0,781.5,35382,17977
AIRDECCAN,20060818,80.4,81.7,78.5,80.1,96080,29550
AJANTPHARM,20060818,76.8,81.8,75.0,78.1,92925,26904
AKSHOPTFBR,20060818,59.0,60.9,58.45,59.0,115863,44278
ALBK,20060818,66.35,67.05,66.35,66.55,158026,69190
ALEMBICLTD,20060818,339.2,365.0,339.05,353.7,9738,4155
ALFALAVAL,20060818,770.35,812.95,770.35,799.0,1321,1194
ALLCARGO,20060818,654.8,675.0,630.0,651.35,11755,4707
ALLSEC,20060818,239.1,244.5,236.0,239.0,8198,6156
ALOKTEXT,20060818,61.0,64.0,59.0,60.2,6905625,2292938
ALPSINDUS,20060818,103.0,106.35,100.6,105.4,419215,141342
