SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
3IINFOTECH,20060621,152.0,158.5,150.1,155.1,126573,39186
3MINDIA,20060621,1000.0,1052.0,1000.0,1034.5,1233,1114
AARTIDRUGS,20060621,78.65,80.25,76.6,79.7,9663,7349
AARTIIND,20060621,38.3,41.0,38.3,40.35,104218,60760
ABANLOYD,20060621,935.0,979.0,910.0,979.0,76992,53604
ABB,20060621,2224.0,2230.0,2161.2,2205.15,59841,12241
ABIRLANUVO,20060621,629.0,708.0,617.0,641.2,50324,41701
ABSHEKINDS,20060621,22.65,23.6,22.6,23.45,87211,54281
ACC,20060621,754.4,779.0,750.0,769.5,1285129,156884
ADANIEXPO,20060621,137.0,140.75,137.0,140.75,325541,154608
ADHUNIK,20060621,33.9,34.8,33.8,33.95,79846,38372
ADLABSFILM,20060621,226.7,236.0,220.1,228.95,141184,30327
ADORWELD,20060621,322.3,355.5,322.3,355.0,4212,2244
AEGISCHEM,20060621,180.0,186.35,179.0,181.3,33220,15009
AFTEKINFO,20060621,47.0,56.9,46.5,55.75,4457583,732052
AGRODUTCH,20060621,21.8,22.9,21.4,22.65,41679,26915
AHMEDFORGE,20060621,172.15,172.4,170.0,172.4,1171,1168
AIAENG,20060621,540.0,557.0,530.0,550.35,14774,6392
AIRDECCAN,20060621,86.8,91.45,86.1,90.0,796280,102568
AJANTPHARM,20060621,67.5,73.9,67.5,70.25,43047,8615
AKSHOPTFBR,20060621,57.75,62.7,57.75,62.05,35655,18990
ALBK,20060621,72.0,75.15,72.0,74.8,781837,602100
ALEMBICLTD,20060621,275.0,278.0,271.55,276.8,4007,3572
ALFALAVAL,20060621,816.0,865.0,816.0,851.0,10156,10117
ALLSEC,20060621,197.9,204.85,192.05,193.05,3121,2156
ALOKTEXT,20060621,59.0,61.75,59.0,61.0,259168,107302
ALPSINDUS,20060621,83.5,91.2,82.0,91.0,615240,235290
AMAR,20060621,55.1,62.0,55.1,61.4,756170,87019
AMARAJABAT,20060621,197.0,224.95,197.0,216.9,53155,13915
AMBICAAGAR,20060621,8.95,9.85,8.95,9.5,13848,8687
AMTEKAUTO,20060621,302.0,302.0,294.0,299.75,209695,195164
AMTEKINDIA,20060621,104.0,106.0,102.7,104.15,87654,47078
ANDHRABANK,20060621,59.0,61.4,58.2,60.65,680135,271700
ANDHRSUGAR,20060621,132.1,137.0,132.0,135.9,72979,56112
ANSALINFRA,20060621,414.9,418.15,410.0,418.15,31410,22911
ANTGRAPHIC,20060621,0.3,0.35,0.3,0.35,121349,90100
APARINDS,20060621,192.45,207.6,192.45,195.25,545,420
APCOTEXLAT,20060621,39.55,41.8,39.55,40.1,929,689
APIL,20060621,218.5,237.8,217.05,233.4,139909,39693
APOLLOHOSP,20060621,464.0,475.0,447.0,449.15,69486,37602
APOLLOTYRE,20060621,207.0,229.9,202.25,225.4,61073,36565
APPAPER,20060621,111.0,120.2,110.55,117.95,13986,9594
APTECHT,20060621,103.0,116.75,103.0,107.0,1634844,213512
ARCHIES,20060621,110.1,118.0,110.0,116.15,7502,4829
ARL,20060621,1.45,1.5,1.4,1.45,284615,147040
ARSBONDS,20060621,101.51,102.1,101.51,102.0,8431,8071
ARVINDMILL,20060621,56.6,62.0,56.6,61.5,1499580,331585
ASAHIINDIA,20060621,85.0,86.5,84.0,85.9,30891,20795
ASAL,20060621,66.0,67.0,65.25,66.75,152,152
ASHAPURMIN,20060621,195.0,196.7,183.25,195.0,7977,5475
ASHIMASYN,20060621,9.0,9.0,9.0,9.0,6360,5960
ASHOKLEY,20060621,36.9,36.9,34.1,35.2,2012057,657081
ASIANELEC,20060621,332.0,345.75,332.0,343.9,44403,21566
ASIANHOTEL,20060621,600.0,600.0,581.25,587.5,1753,1274
ASIANPAINT,20060621,636.95,636.95,550.0,555.35,100633,97969
ASIL,20060621,9.4,9.8,9.35,9.5,3715,3064
ASTRAMICRO,20060621,211.1,218.0,211.05,216.1,37712,23470
ATFL,20060621,87.0,92.5,87.0,91.45,48856,19889
ATLASCYCLE,20060621,95.0,98.95,94.0,98.65,636,456
ATUL,20060621,119.8,135.9,118.05,120.75,152239,104930
AURIONPRO,20060621,92.5,93.0,90.5,92.25,1917,1642
AUROPHARMA,20060621,529.85,542.0,525.0,529.85,120173,35839
AUTOAXLES,20060621,454.0,454.0,432.0,434.95,188,178
AVAYAGCL,20060621,285.0,295.0,285.0,294.4,1611,1315
AVENTIS,20060621,1547.95,1547.95,1506.05,1526.3,791,541
AZTEC,20060621,180.0,193.0,176.0,180.3,177521,34918
BAGFILMS,20060621,8.55,8.85,8.25,8.75,89798,63518
BAGYAMETAL,20060621,56.0,59.8,55.2,57.7,68086,25392
BAJAJAUTO,20060621,2645.0,2648.0,2550.1,2620.15,120171,40613
BAJAJHIND,20060621,350.0,370.0,349.1,352.75,1098094,271649
BAJAUTOFIN,20060621,397.0,410.0,389.0,396.3,3477,1413
BALAJITELE,20060621,106.9,106.9,105.0,106.0,92713,86455
BALASPONGE,20060621,37.75,39.35,37.0,39.35,1451,1201
BALASTEELS,20060621,12.8,13.85,12.8,13.6,7241,4433
BALKRISIND,20060621,562.0,575.0,550.0,556.55,371,215
BALMLAWRIE,20060621,362.15,430.0,362.15,407.1,1073,528
BALPHARMA,20060621,36.35,36.35,35.05,36.35,1322,1139
BALRAMCHIN,20060621,116.3,121.5,115.0,120.2,1068718,467248
BANARISUG,20060621,1084.5,1100.0,1065.0,1089.75,629,380
BANKBARODA,20060621,198.0,204.8,194.0,198.45,552548,364924
BANKINDIA,20060621,102.9,107.5,100.75,105.65,942472,400775
BANKRAJAS,20060621,29.0,30.65,29.0,30.05,176588,78289
BARTRONICS,20060621,55.5,55.65,54.5,55.65,15832,14956
BASF,20060621,185.0,189.0,184.15,188.4,7658,5046
BASML,20060621,85.0,93.0,84.05,91.35,47738,20005
BATAINDIA,20060621,173.9,188.5,172.0,184.45,1585568,178657
BBTC,20060621,267.0,291.75,267.0,291.75,2715,1638
BCCL,20060621,55.0,55.0,50.3,53.7,3027,2836
BEL,20060621,980.0,1049.0,980.0,1031.0,70015,19963
BELCERAMIC,20060621,16.2,17.3,15.75,16.5,27195,18609
