SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
3IINFOTECH,2008062,120.0,121.0,112.0,113.7,232403,94112
3MINDIA,2008062,1825.0,1869.4,1792.25,1802.15,525,513
AARTIDRUGS,2008062,48.0,50.0,47.95,48.0,8859,6046
AARTIIND,2008062,34.5,34.75,32.0,32.1,39268,24299
AARVEEDEN,2008062,71.0,73.9,68.5,70.9,787,559
ABAN,2008062,4080.0,4080.0,3771.0,3826.9,153458,52536
ABB,2008062,1035.0,1064.9,1011.25,1023.95,456935,247680
ABGSHIP,2008062,550.0,559.5,538.0,540.2,2624,2015
ABIRLANUVO,2008062,1437.0,1448.0,1400.0,1419.95,56488,42505
ABSHEKINDS,2008062,17.15,17.65,16.6,16.7,85201,64136
ACC,2008062,661.0,666.0,620.25,627.2,649093,482297
ACE,2008062,72.55,76.4,72.05,73.1,76844,16784
ADANIENT,2008062,815.0,815.0,770.1,794.15,29332,12344
ADHUNIK,2008062,171.9,183.5,171.0,174.25,671298,153127
ADLABSFILM,2008062,625.0,629.0,596.0,597.95,894463,134767
ADORWELD,2008062,149.0,152.95,146.0,147.75,7283,6761
ADSL,2008062,946.0,946.25,920.0,920.8,1399,1203
ADVANTA,2008062,906.0,915.0,871.85,886.15,408,287
AEGISCHEM,2008062,236.0,245.0,226.25,230.0,7120,5067
AFL,2008062,85.0,86.0,85.0,85.0,3247,2997
AFTEK,2008062,47.8,47.8,45.1,45.5,287134,113237
AGRODUTCH,2008062,31.1,32.7,30.5,30.75,49308,33593
AHMEDFORGE,2008062,130.0,134.5,127.05,128.85,5287,4190
AIAENG,2008062,1595.0,1595.0,1480.0,1485.6,8260,3520
AICHAMP,2008062,72.3,72.3,69.25,69.25,30,15
AIRDECCAN,2008062,116.5,117.0,110.25,111.3,329127,85607
AJANTPHARM,2008062,92.35,94.35,90.0,90.55,4211,3445
AKRUTI,2008062,963.0,1011.0,955.15,965.35,15500,5795
ALBK,2008062,81.25,81.3,77.95,79.25,610626,289370
ALCHEM,2008062,117.0,118.95,116.0,117.05,11668,11370
ALEMBICLTD,2008062,55.7,56.65,54.05,54.25,38420,24537
ALFALAVAL,2008062,818.65,830.0,811.45,825.25,439,347
ALKYLAMINE,2008062,91.3,92.0,91.3,91.3,456,454
ALLCARGO,2008062,674.4,674.4,640.1,647.0,1427,911
ALLSEC,2008062,62.95,63.35,60.0,60.25,10743,7603
ALOKTEXT,2008062,63.45,64.5,60.8,61.3,330246,119053
ALPA,2008062,23.7,24.0,22.7,22.85,11669,9522
ALPHAGEO,2008062,496.0,514.9,472.5,473.95,853,703
