SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20100701,41.6,41.6,40.5,40.8,3206,2374
3IINFOTECH,20100701,60.35,64.7,60.1,64.4,2940868,987296
3MINDIA,20100701,2725.05,2830.0,2725.05,2757.5,971,451
AARTIDRUGS,20100701,133.1,135.5,133.1,134.15,12437,5001
AARTIIND,20100701,49.05,49.4,48.75,49.0,31484,21100
AARVEEDEN,20100701,59.45,67.95,59.45,63.2,51255,11804
ABAN,20100701,840.0,854.3,836.0,849.25,3167653,207272
ABB,20100701,862.0,863.95,858.1,860.6,217056,180566
ABBOTINDIA,20100701,1155.0,1156.0,1111.0,1118.15,8111,5799
ABCIL,20100701,101.0,102.5,100.15,102.0,30059,21206
ABGSHIP,20100701,260.0,261.4,258.0,259.1,94702,38081
ABHISHEK,20100701,18.45,18.5,18.05,18.3,7717,4831
ABIRLANUVO,20100701,768.7,768.7,747.2,762.1,36411,20614
ABSHEKINDS,20100701,16.3,16.75,16.2,16.3,150440,97062
ACC,20100701,862.25,872.5,860.8,866.6,177384,26521
ACE,20100701,48.35,52.1,48.35,50.05,358273,119975
ACKRUTI,20100701,475.05,479.4,473.25,475.1,5591,2519
ADANIENT,20100701,535.8,540.35,533.55,536.85,95743,62313
ADANIPOWER,20100701,126.0,129.4,125.0,126.15,1524380,1257874
ADHUNIK,20100701,105.8,114.0,105.35,108.35,777344,152605
ADORWELD,20100701,213.75,213.75,209.55,211.0,18988,10457
ADSL,20100701,231.9,232.0,228.25,229.1,33405,17012
ADVANIHOTR,20100701,40.5,40.5,40.5,40.5,30,30
ADVANTA,20100701,509.4,531.4,500.25,505.4,435059,54302
AEGISCHEM,20100701,375.3,389.9,370.0,379.35,319363,39498
AFTEK,20100701,14.8,15.45,14.75,14.9,246226,83427
AGCNET,20100701,238.0,260.8,238.0,258.05,6099,5989
AGRODUTCH,20100701,25.15,26.0,24.6,25.0,98618,48810
AHLUCONT,20100701,203.5,210.0,203.5,208.9,124206,26156
AHMEDFORGE,20100701,105.15,115.0,105.15,111.65,69470,31079
AIAENG,20100701,382.8,389.9,377.5,378.9,36406,4542
AICHAMP,20100701,33.0,34.9,32.35,32.45,5517,528
AJANTPHARM,20100701,219.85,221.8,215.05,216.1,43171,15519
AJMERA,20100701,159.5,160.7,156.55,157.5,45862,20058
AKSHOPTFBR,20100701,24.25,27.35,23.1,23.45,1015241,348783
AKZOINDIA,20100701,751.0,764.0,751.0,761.4,4146,3241
ALBK,20100701,162.15,162.85,159.0,160.1,476448,319401
ALCHEM,20100701,177.0,184.0,177.0,179.25,105056,49421
ALEMBICLTD,20100701,54.4,55.6,54.0,55.05,797399,441223
ALFALAVAL,20100701,1490.0,1510.0,1470.05,1501.45,3731,2564
ALKALI,20100701,109.0,111.45,109.0,109.5,31059,10035
ALKYLAMINE,20100701,104.7,105.5,98.3,99.7,8814,4873
ALLCARGO,20100701,170.0,171.0,166.1,170.75,2696,1534
ALLSEC,20100701,52.15,52.15,48.95,49.25,10180,5955
ALMONDZ,20100701,63.85,64.75,63.75,63.85,10136,9528
ALOKTEXT,20100701,19.8,20.5,19.8,20.4,2074733,760145
ALPA,20100701,15.2,16.15,15.2,15.65,5299,3808
ALPHAGEO,20100701,193.0,199.0,192.55,197.1,10133,6505
ALPSINDUS,20100701,9.6,10.45,9.6,10.2,99272,68074
AMAR,20100701,77.35,77.95,75.5,75.75,100778,39997
AMARAJABAT,20100701,184.9,184.95,181.15,181.85,153300,103790
AMARJOTHI,20100701,53.75,53.85,51.65,51.85,5180,3650
AMBICAAGAR,20100701,12.05,12.45,12.05,12.3,3327,2584
AMBIKCO,20100701,175.45,178.0,173.5,175.7,6102,2924
AMBUJACEM,20100701,114.4,115.0,112.7,113.05,1070281,680437
AMDIND,20100701,23.05,23.1,22.8,23.0,5241,4417
AMLSTEEL,20100701,55.35,57.7,54.55,54.55,901,889
AMRUTANJAN,20100701,750.0,763.0,747.15,750.85,9913,3026
AMTEKAUTO,20100701,177.3,177.8,172.1,175.75,385264,156023
AMTEKINDIA,20100701,64.7,65.1,64.25,64.6,95018,58914
ANANTRAJ,20100701,117.9,119.8,114.0,118.8,314004,139647
ANDHRABANK,20100701,131.5,131.5,127.6,129.3,674470,261036
ANDHRSUGAR,20100701,128.5,130.5,128.5,129.1,13996,9049
ANGIND,20100701,54.05,54.65,53.5,54.1,22415,9476
ANIKINDS,20100701,62.0,65.5,62.0,62.9,171563,44865
ANKURDRUGS,20100701,176.15,179.0,176.15,177.4,10094,5077
ANSALAPI,20100701,78.0,78.0,76.95,77.3,67830,40154
ANSALHSG,20100701,59.8,60.6,59.45,59.8,26676,13938
ANTGRAPHIC,20100701,0.4,0.45,0.4,0.4,134872,134868
APARINDS,20100701,226.5,231.0,225.5,227.75,1629,1082
APCOTEXIND,20100701,144.9,144.9,139.25,140.2,1389,1141
APIL,20100701,670.6,672.0,657.0,659.55,36325,7583
APLAB,20100701,47.6,48.85,46.0,46.0,425,315
APOLLOHOSP,20100701,745.1,765.0,742.1,746.3,58712,26178
APOLLOTYRE,20100701,64.3,65.7,63.85,64.1,4185580,2339545
APPAPER,20100701,99.5,100.0,98.1,98.8,9850,7895
APPAPER,20100701,99.5,100.0,98.1,98.8,5,5
APPAPER,20100701,50.65,50.65,48.0,48.0,9850,7895
APPAPER,20100701,50.65,50.65,48.0,48.0,5,5
APTECHT,20100701,136.8,138.5,134.7,135.55,423293,226278
AQUA,20100701,539.1,541.7,522.3,525.85,161131,77706
ARCHIDPLY,20100701,32.25,32.25,31.3,31.65,3325,2789
ARCHIES,20100701,112.25,116.5,112.25,114.9,61051,31124
AREVAT&D,20100701,290.5,290.75,289.0,289.45,43383,28687
ARIES,20100701,115.9,117.0,114.1,114.6,7302,4034
ARIHANT,20100701,132.0,145.0,130.35,135.35,23852,9628
ARL,20100701,1.75,1.85,1.75,1.8,144161,84057
AROGRANITE,20100701,46.0,47.7,46.0,47.65,2655,2655
ARROWTEX,20100701,13.25,13.7,11.55,12.35,163573,51613
ARSHIYA,20100701,244.7,244.7,235.2,237.1,4542,3476
ARSSINFRA,20100701,1130.25,1155.0,1120.0,1136.45,188179,26621
ARVIND,20100701,36.0,36.5,35.45,35.95,1486814,579737
ASAHIINDIA,20100701,67.4,69.4,67.4,69.05,49115,29089
ASAL,20100701,95.8,103.6,90.7,100.25,226462,21763
ASHAPURMIN,20100701,72.0,74.5,72.0,73.55,417346,132960
ASHIMASYN,20100701,5.85,5.85,5.5,5.5,39885,31384
ASHOKLEY,20100701,63.25,63.9,62.55,62.6,1862038,970576
