SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20100430,40.85,41.8,40.85,41.05,4107,3097
3IINFOTECH,20100430,75.0,75.85,74.0,74.3,1139932,486777
3MINDIA,20100430,2350.0,2379.0,2305.0,2312.8,255,216
AARTIDRUGS,20100430,117.05,119.3,116.6,117.65,36842,19972
AARTIIND,20100430,49.0,49.9,49.0,49.2,38158,23914
AARVEEDEN,20100430,62.05,65.9,62.05,64.25,11365,3582
ABAN,20100430,1195.5,1209.0,1191.0,1197.05,484382,81896
ABB,20100430,807.0,810.0,774.85,792.4,677951,164658
ABBOTINDIA,20100430,940.0,940.0,935.0,935.0,212,187
ABCIL,20100430,86.65,89.5,86.05,87.15,24755,16303
ABGSHIP,20100430,269.0,272.9,263.1,264.6,695736,215984
ABIRLANUVO,20100430,834.8,840.85,818.0,823.75,78793,41893
ABSHEKINDS,20100430,18.15,20.75,18.0,19.7,3244174,1185004
ACC,20100430,900.0,910.0,882.25,905.05,920502,575582
ACE,20100430,50.95,51.65,49.8,50.1,167209,78844
ACKRUTI,20100430,547.0,556.0,530.1,532.3,30800,9684
ADANIENT,20100430,565.0,567.5,555.25,562.55,236341,168779
ADANIPOWER,20100430,124.0,128.9,122.9,125.2,3046229,2002315
ADHUNIK,20100430,126.85,127.6,123.3,124.55,177876,87550
ADORWELD,20100430,185.8,186.2,181.1,182.25,15106,9260
ADSL,20100430,249.45,256.0,248.2,250.4,206450,161517
ADVANIHOTR,20100430,44.0,45.55,44.0,44.3,1456,1455
ADVANTA,20100430,586.0,587.0,563.1,565.7,11025,6760
AEGISCHEM,20100430,303.8,309.0,299.05,300.2,35313,10913
AFL,20100430,48.5,48.8,48.1,48.15,3556,2943
AFTEK,20100430,16.3,16.8,16.25,16.4,141587,58541
AHLUCONT,20100430,232.0,235.95,229.1,230.35,33890,21131
AHMEDFORGE,20100430,127.5,129.85,125.55,127.25,32475,20360
AIAENG,20100430,405.7,413.8,393.0,394.85,8203,4460
AJANTPHARM,20100430,204.25,205.5,192.1,200.4,58175,22906
AJMERA,20100430,182.9,184.4,178.15,178.75,101501,28941
AKSHOPTFBR,20100430,23.2,23.2,22.3,22.45,140148,101242
ALBK,20100430,171.7,177.1,163.85,164.6,6460001,2293630
ALCHEM,20100430,202.75,206.5,191.0,194.3,131522,44839
ALEMBICLTD,20100430,50.2,50.9,49.4,49.7,173558,78214
ALFALAVAL,20100430,1392.5,1399.0,1370.1,1376.25,1004,776
ALKALI,20100430,120.95,125.9,119.5,122.85,270528,59408
ALKYLAMINE,20100430,79.25,84.0,79.0,83.15,1547,1160
ALLCARGO,20100430,186.0,192.8,184.0,188.35,11948,9831
ALMONDZ,20100430,54.0,55.25,53.05,54.6,22437,15420
ALOKTEXT,20100430,20.8,21.1,20.65,20.95,3018902,1527660
ALPHAGEO,20100430,214.35,221.85,209.0,214.2,25534,11744
ALPSINDUS,20100430,12.0,12.2,11.85,11.9,53005,43274
AMAR,20100430,62.6,64.0,62.1,62.5,73697,28673
AMARAJABAT,20100430,172.0,174.35,170.0,170.1,256426,130757
AMARJOTHI,20100430,57.9,60.0,55.1,57.35,15273,5325
AMBICAAGAR,20100430,13.0,13.45,12.5,13.05,7820,5560
AMBIKCO,20100430,175.3,175.3,168.0,169.65,9598,4590
AMBUJACEM,20100430,122.55,123.9,119.5,121.05,3644049,2503466
AMDIND,20100430,25.0,26.0,25.0,25.8,24420,17299
AMRUTANJAN,20100430,803.05,814.0,781.0,791.15,42713,11840
AMTEKAUTO,20100430,184.3,189.0,180.75,186.3,449846,95964
AMTEKINDIA,20100430,70.9,70.9,69.7,70.05,230346,136556
ANANTRAJ,20100430,127.55,130.5,126.15,127.25,289528,157425
ANDHRABANK,20100430,129.0,133.7,128.5,132.35,6039442,2870734
ANDHRSUGAR,20100430,129.4,129.5,127.3,127.9,14678,9739
ANGAUTO,20100430,50.5,52.8,50.05,50.75,113155,35141
ANIKINDS,20100430,60.8,62.3,60.5,60.65,9160,5506
ANKURDRUGS,20100430,224.0,243.4,219.0,233.95,540991,103213
ANSALHSG,20100430,71.55,73.0,69.55,70.05,159403,54693
ANSALINFRA,20100430,82.5,82.7,81.1,81.7,415065,155744
