SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20140221,30.45,30.55,30.25,30.35,79364,19977
3MINDIA,20140221,3729.95,3729.95,3651.35,3689.95,25,19
8KMILES,20140221,115.9,116.85,112.05,115.25,4427,1530
AARTIDRUGS,20140221,214.0,219.0,212.05,217.8,2227,1937
AARTIIND,20140221,88.7,91.0,88.0,90.9,8434,5981
AARVEEDEN,20140221,35.2,35.2,34.35,34.4,766,592
ABAN,20140221,511.7,519.6,508.3,511.2,1132153,147023
ABB,20140221,682.9,689.5,673.05,681.9,316769,60571
ABBOTINDIA,20140221,1635.0,1657.85,1621.15,1635.6,2504,1665
ABCIL,20140221,108.1,111.0,108.1,110.3,2273,1629
ABGSHIP,20140221,276.8,282.75,270.5,272.2,437748,55358
ABIRLANUVO,20140221,1070.0,1092.0,1070.0,1087.6,61141,33747
ACC,20140221,1006.0,1070.0,1003.1,1065.55,392141,115636
ACCELYA,20140221,655.0,668.0,652.0,654.65,9786,6099
ACE,20140221,11.8,12.15,11.8,11.9,27349,24190
ADANIENT,20140221,246.45,250.6,242.75,249.6,3039749,374421
ADANIPORTS,20140221,166.4,168.4,162.55,167.25,2288323,1195596
ADANIPOWER,20140221,36.5,37.0,36.15,36.55,3139614,833488
ADFFOODS,20140221,45.9,45.9,42.3,42.6,8969,6268
ADHUNIK,20140221,29.0,29.05,28.6,28.7,9123,5260
ADORWELD,20140221,126.6,129.85,126.5,128.2,6986,4138
ADSL,20140221,13.0,13.0,12.6,12.6,6577,5834
ADVANIHOTR,20140221,33.6,33.6,31.0,32.85,307040,244000
ADVANTA,20140221,108.0,109.7,107.0,107.35,18215,10881
AEGISCHEM,20140221,148.0,149.95,138.5,141.35,59044,32556
AFTEK,20140221,3.1,3.2,3.1,3.1,58404,43526
AGCNET,20140221,47.3,49.9,47.3,47.55,4473,2233
AHLEAST,20140221,130.0,135.0,130.0,135.0,190,190
AHLUCONT,20140221,25.0,25.0,24.05,24.05,5100,5100
AHLWEST,20140221,97.05,100.0,97.0,100.0,151,115
AHMEDFORGE,20140221,108.6,108.6,105.75,105.85,11900,10943
AIAENG,20140221,562.0,568.8,558.0,560.2,4033,2354
AIL,20140221,320.3,335.0,317.6,318.9,15613,7286
AJANTPHARM,20140221,979.75,1005.0,979.0,988.95,65205,16819
AJMERA,20140221,49.1,50.0,48.2,48.55,16046,10753
AKSHOPTFBR,20140221,17.9,17.95,17.2,17.4,28294,19116
AKZOINDIA,20140221,771.0,775.0,771.0,772.25,1634,1143
ALBK,20140221,72.8,74.35,72.8,73.9,1378106,309314
ALCHEM,20140221,39.8,39.8,38.5,39.35,913,741
ALEMBICLTD,20140221,12.9,13.5,12.9,13.05,394996,167879
ALICON,20140221,79.25,80.95,79.0,80.95,609,605
ALKALI,20140221,15.6,15.95,15.55,15.8,2405,1634
ALKYLAMINE,20140221,234.0,234.0,221.3,225.0,2218,207
ALLCARGO,20140221,141.0,146.5,140.7,142.55,11336,5275
ALOKTEXT,20140221,6.5,6.6,6.45,6.5,1143265,630191
ALSTOMT&D,20140221,187.1,190.0,185.0,185.65,10350,6362
AMARAJABAT,20140221,383.05,390.5,381.4,388.55,186219,116202
AMARJOTHI,20140221,70.8,70.8,70.8,70.8,106,106
AMBIKCO,20140221,302.0,305.0,301.5,303.7,2485,2333
AMBUJACEM,20140221,153.0,162.8,151.7,162.0,4407604,2249718
AMDIND,20140221,13.3,13.3,12.6,12.95,950,326
AMRUTANJAN,20140221,124.4,125.0,123.0,123.45,7335,5932
AMTEKAUTO,20140221,89.05,93.0,88.9,91.9,998136,263208
AMTEKINDIA,20140221,64.4,65.75,63.15,63.85,112937,45646
AMTL,20140221,17.5,17.5,17.5,17.5,100,100
ANANTRAJ,20140221,51.0,51.4,49.7,50.2,660471,251004
ANDHRABANK,20140221,54.35,55.7,54.35,55.05,1247793,597825
ANDHRACEMT,20140221,5.6,5.85,5.6,5.7,4580,3200
ANDHRSUGAR,20140221,89.5,89.5,87.55,88.05,5356,4426
ANKITMETAL,20140221,7.15,7.6,7.1,7.35,1050,676
ANSALAPI,20140221,18.2,19.4,18.2,18.8,32324,22876
