SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20141126,31.25,31.4,30.5,30.85,73875,43814
3IINFOTECH,20141126,7.5,7.85,7.35,7.75,724994,375446
3MINDIA,20141126,6220.0,6450.0,6220.0,6342.3,1037,693
8KMILES,20141126,511.35,567.15,501.1,567.15,107632,29501
A2ZMES,20141126,19.4,20.2,19.2,19.75,77286,45701
AARTIDRUGS,20141126,787.8,805.0,772.55,795.6,3043,1504
AARTIIND,20141126,275.0,283.9,272.0,280.5,82198,66487
AARVEEDEN,20141126,44.4,46.3,44.05,44.85,17547,3076
ABAN,20141126,588.0,602.5,584.0,597.7,743770,150100
ABB,20141126,1098.05,1106.7,1085.25,1095.5,19013,6350
ABBOTINDIA,20141126,3415.0,3435.05,3361.5,3374.0,2471,1317
ABCIL,20141126,225.7,234.0,225.6,233.25,13165,8035
ABGSHIP,20141126,227.0,233.9,226.25,230.55,130280,79327
ABIRLANUVO,20141126,1720.0,1755.0,1710.0,1740.5,187441,98735
ACC,20141126,1416.0,1459.7,1416.0,1438.45,224157,99511
ACCELYA,20141126,889.6,898.0,881.15,891.35,5481,1844
ACE,20141126,39.2,40.4,38.15,39.05,202616,88325
ADANIENT,20141126,460.2,462.7,450.5,453.7,1286128,423036
ADANIPORTS,20141126,297.2,300.6,293.05,296.8,1374295,237968
ADANIPOWER,20141126,45.2,46.7,45.0,46.1,3485988,845971
ADFFOODS,20141126,61.8,64.75,60.15,62.6,139340,49722
ADHUNIK,20141126,29.5,30.55,28.55,28.85,53655,34913
ADORWELD,20141126,220.0,221.0,216.1,219.8,5592,3004
ADSL,20141126,20.15,20.75,20.0,20.35,17805,13009
ADVANIHOTR,20141126,69.0,70.6,69.0,69.55,2033,317
ADVANTA,20141126,384.65,385.4,364.1,366.5,70798,28957
AEGISCHEM,20141126,423.95,455.0,417.0,443.4,125314,31547
AFL,20141126,119.0,130.4,118.0,122.65,139786,73717
AGARIND,20141126,106.0,106.75,105.0,105.2,2393,2261
AGCNET,20141126,83.8,85.4,81.5,83.35,2108,1168
AGRODUTCH,20141126,2.15,2.7,2.15,2.5,2253,1514
AHLEAST,20141126,177.0,180.0,175.0,178.35,2963,2069
AHLUCONT,20141126,178.0,183.5,177.95,181.85,79451,43645
AHLWEST,20141126,115.0,115.55,111.25,112.0,1152,835
AHMEDFORGE,20141126,410.05,431.2,410.05,420.55,567514,138725
AIAENG,20141126,1196.05,1223.0,1140.0,1147.05,87333,34640
AIL,20141126,594.75,594.75,575.1,582.35,111134,96779
AJANTPHARM,20141126,2289.9,2325.0,2250.0,2268.35,28603,7291
AJMERA,20141126,115.85,116.5,112.45,114.75,4634,1620
AKSHOPTFBR,20141126,17.45,18.2,17.3,17.75,408635,163970
AKZOINDIA,20141126,1270.0,1295.0,1260.0,1266.4,6806,3824
ALBK,20141126,113.0,115.5,112.2,114.15,1689178,180999
ALCHEM,20141126,36.7,38.4,36.7,37.1,4592,3760
ALEMBICLTD,20141126,43.3,44.55,43.3,44.0,243622,100552
ALICON,20141126,222.1,239.0,220.45,233.65,22447,8955
ALKALI,20141126,22.2,22.5,21.8,22.0,998,891
ALKYLAMINE,20141126,360.0,370.0,351.05,363.85,6260,3906
ALLCARGO,20141126,324.7,332.0,321.1,327.85,125986,28377
ALLSEC,20141126,24.15,25.4,24.0,24.85,3273,2552
ALMONDZ,20141126,15.15,17.95,15.15,17.05,74082,34706
ALOKTEXT,20141126,10.6,10.95,10.4,10.75,6235283,1962131
ALPHAGEO,20141126,506.5,526.45,506.5,518.9,12524,6543
ALPSINDUS,20141126,1.65,1.65,1.65,1.65,1100,1100
ALSTOMT&D,20141126,463.15,475.9,455.3,470.7,196857,89761
AMARAJABAT,20141126,767.95,769.95,740.5,749.1,197008,95658
AMARJOTHI,20141126,79.0,79.0,73.0,78.0,497,97
AMBIKCO,20141126,480.2,500.0,480.15,494.2,2182,1561
AMBUJACEM,20141126,227.15,230.4,225.25,228.8,1549824,697747
AMDIND,20141126,24.05,24.75,22.1,23.9,9435,5989
AMRUTANJAN,20141126,448.0,467.9,442.6,458.6,1243800,167720
AMTEKAUTO,20141126,199.95,203.0,198.0,198.9,3240152,1360421
AMTEKINDIA,20141126,87.45,88.35,86.2,86.8,422726,202043
AMTL,20141126,13.75,14.0,13.75,13.9,515,515
ANANTRAJ,20141126,49.5,56.3,49.5,54.6,5692729,2375646
ANDHRABANK,20141126,79.55,81.15,78.15,79.9,5025304,740018
ANDHRACEMT,20141126,8.85,9.4,8.75,9.1,40170,19357
ANDHRSUGAR,20141126,126.1,126.8,124.4,125.5,6875,3824
ANGIND,20141126,38.95,40.0,37.95,38.95,128659,50391
ANKITMETAL,20141126,6.15,6.15,5.75,5.85,9022,7234
ANSALAPI,20141126,29.5,33.5,29.5,32.15,241415,118849
ANSALHSG,20141126,29.5,32.4,29.25,31.45,88029,30579
APARINDS,20141126,402.4,413.45,394.35,410.25,57914,38882
APCOTEXIND,20141126,441.0,450.0,435.0,443.7,16572,10967
APLAPOLLO,20141126,327.0,328.9,317.05,326.2,9035,703
APLLTD,20141126,424.15,429.0,418.15,419.75,98040,66482
APOLLOHOSP,20141126,1199.95,1205.0,1183.2,1186.4,99888,35891
APOLLOTYRE,20141126,220.0,225.5,219.8,223.7,2635380,791622
APTECHT,20141126,79.3,80.7,78.4,79.05,232957,68904
