SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20160705,29.6,31.0,29.6,30.35,26244,16985
3IINFOTECH,20160705,5.15,5.15,5.05,5.1,1547491,988138
3MINDIA,20160705,14199.0,14374.0,13721.0,13791.55,956,641
8KMILES,20160705,1868.0,1879.95,1811.4,1817.95,12630,6792
A2ZINFRA,20160705,43.75,46.1,43.05,43.55,3406845,1038207
AARTIDRUGS,20160705,473.55,476.25,466.05,475.15,6456,3720
AARTIIND,20160705,540.0,545.0,535.0,538.15,62885,48809
AARVEEDEN,20160705,76.75,77.5,75.1,75.7,18306,12066
ABAN,20160705,214.0,234.0,212.6,231.95,8502189,1222025
ABB,20160705,1217.0,1228.0,1205.0,1206.25,29169,19861
ABBOTINDIA,20160705,4750.0,4770.0,4705.0,4719.9,453,328
ABFRL,20160705,143.75,149.5,143.0,144.6,1665781,1278167
ABGSHIP,20160705,33.4,35.4,32.25,34.0,1027131,260536
ABIRLANUVO,20160705,1260.45,1278.6,1254.15,1273.05,178504,39109
ACC,20160705,1612.7,1614.6,1585.0,1589.3,244811,127058
ACCELYA,20160705,1114.45,1122.5,1103.3,1109.35,2635,2150
ACE,20160705,45.8,47.75,45.6,45.95,214924,113935
ADANIENT,20160705,85.6,86.45,84.15,84.6,2659582,637482
ADANIPORTS,20160705,214.55,216.4,213.0,214.55,6536180,3328142
ADANIPOWER,20160705,30.15,30.9,30.0,30.15,8476041,4347720
ADANITRANS,20160705,38.25,38.8,37.2,37.65,872700,491164
ADFFOODS,20160705,90.1,91.9,88.3,91.5,85479,56870
ADHUNIK,20160705,8.25,8.25,7.8,8.05,139647,93947
ADHUNIKIND,20160705,94.0,97.5,93.0,97.1,31022,761
ADI,20160705,340.05,342.95,332.05,333.05,6212,4037
ADLABS,20160705,81.8,81.8,79.45,79.95,284708,167738
ADORWELD,20160705,289.35,295.3,289.0,292.6,966,520
ADSL,20160705,35.5,35.5,33.9,34.15,135523,78771
ADVANIHOTR,20160705,54.8,57.45,54.8,55.85,2292,1040
ADVANTA,20160705,580.0,584.05,574.8,578.1,8452,5483
AEGISCHEM,20160705,127.0,127.8,125.1,125.6,181383,92997
AFL,20160705,59.0,59.9,57.0,58.55,14266,7490
AGARIND,20160705,122.0,126.95,122.0,126.35,3112,2201
AGCNET,20160705,65.0,65.0,63.5,64.0,3345,1630
AGRITECH,20160705,10.5,10.7,10.5,10.7,280,280
AGRODUTCH,20160705,2.55,2.75,2.5,2.7,27598,23247
AHLEAST,20160705,183.25,191.75,180.1,181.4,4422,2693
AHLUCONT,20160705,289.0,289.0,278.0,280.85,17626,8008
AHLWEST,20160705,158.9,158.9,151.0,156.7,3785,2745
AIAENG,20160705,1038.55,1041.9,1020.55,1028.6,4879,2459
AIFL,20160705,253.05,282.2,250.55,277.35,155462,53125
AIL,20160705,625.0,634.0,619.05,628.8,12562,4703
AJANTPHARM,20160705,1560.0,1609.5,1559.05,1586.2,220911,49837
AJMERA,20160705,159.0,159.5,154.0,154.95,44593,26013
AKSHOPTFBR,20160705,17.95,17.95,17.4,17.65,1664062,790628
AKZOINDIA,20160705,1591.0,1605.0,1569.0,1573.7,11990,8511
ALANKIT,20160705,131.5,132.9,126.2,130.15,77963,9537
ALBERTDAVD,20160705,303.0,319.5,303.0,306.55,1499,538
ALBK,20160705,75.6,78.15,75.55,76.7,7022227,1117164
