SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20170920,42.0,43.55,41.5,41.8,153040,84054
3IINFOTECH,20170920,4.0,4.05,3.95,3.95,1262487,737971
3MINDIA,20170920,14739.95,14739.95,14600.0,14633.4,560,492
63MOONS,20170920,84.2,88.55,83.05,85.25,985548,257637
8KMILES,20170920,391.25,395.2,386.6,388.95,106019,49853
A2ZINFRA,20170920,37.35,38.1,36.5,36.65,1533335,898912
AARTIDRUGS,20170920,532.15,539.0,528.0,533.95,8368,6855
AARTIIND,20170920,869.95,878.0,862.05,871.7,14168,9308
ABAN,20170920,180.3,199.7,179.45,188.45,6045800,903680
ABB,20170920,1459.0,1493.0,1452.55,1464.75,126878,49404
ABBOTINDIA,20170920,4160.0,4230.0,4132.1,4225.85,2450,1966
ABCAPITAL,20170920,199.0,200.2,195.0,195.4,2925035,1876735
ABFRL,20170920,169.9,170.5,168.2,169.35,185586,134820
ACC,20170920,1823.0,1824.9,1778.1,1786.05,417936,230009
ACCELYA,20170920,1520.0,1530.0,1502.0,1510.75,2928,2185
ACCORD,20170920,53.25,54.0,52.0,52.8,12000,10000
ACE,20170920,70.3,70.7,68.65,69.05,284807,141293
ACEINTEG,20170920,30.05,30.05,30.05,30.05,12000,12000
ADANIENT,20170920,131.75,131.75,129.1,129.4,2458718,997656
ADANIPORTS,20170920,408.1,412.85,406.05,409.7,5238339,3586471
ADANIPOWER,20170920,32.25,33.15,32.05,32.35,19354675,7044710
ADANITRANS,20170920,142.0,147.8,123.45,135.45,731097,317921
ADFFOODS,20170920,251.7,272.0,251.35,260.65,1641058,456440
ADHUNIK,20170920,4.9,4.9,4.7,4.7,68252,44516
ADLABS,20170920,72.0,72.8,70.05,70.2,400147,181987
ADORWELD,20170920,456.95,457.65,431.25,434.4,21716,11460
ADSL,20170920,22.7,23.6,22.1,22.6,77925,59288
ADVANIHOTR,20170920,59.1,59.85,57.95,59.1,10297,8196
ADVENZYMES,20170920,273.5,273.5,264.6,265.95,461159,379084
AEGISCHEM,20170920,223.0,226.25,219.05,224.45,191235,95127
AGCNET,20170920,117.3,128.4,117.3,128.2,4007,3163
AGLSL,20170920,136.0,139.85,134.2,136.6,13171,12065
AGRITECH,20170920,107.2,110.0,104.15,106.35,34518,19839
AGROPHOS,20170920,20.25,21.15,20.2,21.15,24000,24000
AHLEAST,20170920,268.55,274.95,265.0,269.85,3719,2485
AHLUCONT,20170920,322.65,329.0,316.0,319.9,84845,59256
AHLWEST,20170920,159.85,176.95,159.85,172.45,4456,3253
AIAENG,20170920,1348.1,1388.7,1339.15,1379.05,22556,13665
AIFL,20170920,435.85,458.0,428.15,456.65,179339,91319
AIRAN,20170920,170.0,170.05,168.5,168.5,12000,12000
AJANTPHARM,20170920,1205.0,1219.8,1188.0,1204.5,200486,47945
AJMERA,20170920,239.0,241.45,230.55,233.2,108231,48473
AKASH,20170920,77.1,77.1,77.1,77.1,4000,4000
AKSHARCHEM,20170920,735.0,765.0,720.0,740.75,21863,12625
AKSHOPTFBR,20170920,27.3,27.7,26.4,26.5,1543687,824899
AKZOINDIA,20170920,1876.7,1948.5,1875.0,1887.35,35581,15029
ALANKIT,20170920,33.35,34.3,33.2,33.4,1461769,218834
ALBERTDAVD,20170920,290.75,297.0,290.75,293.45,1819,1241
ALBK,20170920,72.95,73.8,72.5,73.1,2900647,269604
ALCHEM,20170920,14.25,14.25,13.1,13.85,28263,12187
ALEMBICLTD,20170920,38.9,39.25,38.45,38.5,277111,140965
ALICON,20170920,570.0,574.9,544.2,552.55,5533,3456
ALKEM,20170920,1779.95,1795.0,1750.0,1753.0,52845,43262
ALKYLAMINE,20170920,453.35,459.95,445.1,449.85,4702,3743
ALLCARGO,20170920,176.0,177.45,171.25,172.2,134379,83667
ALLSEC,20170920,358.0,365.0,358.0,364.05,9943,6350
ALMONDZ,20170920,26.15,27.4,26.0,26.5,8451,5925
ALOKTEXT,20170920,2.9,2.95,2.85,2.85,1333091,820555
ALPA,20170920,28.5,29.4,28.4,28.8,19005,16191
ALPHAGEO,20170920,810.0,826.0,801.0,804.55,24743,10138
ALPSINDUS,20170920,5.45,5.95,5.45,5.95,55002,44409
AMARAJABAT,20170920,784.0,785.5,777.85,780.0,394726,283952
AMBIKCO,20170920,1347.0,1375.0,1347.0,1364.75,1290,715
AMBUJACEM,20170920,286.0,286.0,278.35,279.9,2413483,1853146
AMDIND,20170920,33.3,37.2,33.05,35.05,326141,108092
AMRUTANJAN,20170920,612.0,625.0,609.0,616.05,1176,885
AMTEKAUTO,20170920,24.9,25.85,24.6,25.05,1203360,377186
ANANTRAJ,20170920,61.45,62.45,60.55,60.85,1523802,508253
ANDHRABANK,20170920,62.3,63.85,61.35,63.0,10582736,1365796
ANDHRSUGAR,20170920,416.8,421.95,416.0,417.85,45230,22953
ANIKINDS,20170920,56.75,57.05,56.75,57.05,29088,29008
