SYMBOL,TIMESTAMP,OPEN,HIGH,LOW,CLOSE,VOLUME,DELIVERY
20MICRONS,20200114,35.85,36.9,35.2,36.05,42338,19770
21STCENMGM,20200114,16.4,16.4,16.2,16.2,604,604
3IINFOTECH,20200114,2.5,2.6,2.5,2.55,1488954,1069109
3MINDIA,20200114,21535.0,22000.0,21500.0,21931.5,1311,750
3PLAND,20200114,7.0,7.45,7.0,7.05,307,263
5PAISA,20200114,195.9,214.4,194.95,207.6,73107,21339
63MOONS,20200114,109.45,113.0,107.95,109.2,202039,54754
759GS2026,20200114,96.0,96.0,96.0,96.0,1000,1000
A2ZINFRA,20200114,8.0,8.1,7.65,7.7,300209,238843
AARON,20200114,51.0,51.0,51.0,51.0,3300,3300
AARTIDRUGS,20200114,580.0,648.9,579.95,628.8,252991,54158
AARTIIND,20200114,848.1,866.8,848.1,854.25,200401,108032
AARVEEDEN,20200114,14.1,14.4,13.9,13.95,9735,6133
AAVAS,20200114,2020.0,2022.0,2003.0,2016.7,15942,8518
ABAN,20200114,26.3,26.5,26.1,26.25,33182,23516
ABB,20200114,1372.0,1411.0,1362.0,1369.2,96552,66834
ABBOTINDIA,20200114,12599.0,12749.0,12512.6,12635.6,6074,4624
ABCAPITAL,20200114,112.85,113.65,110.3,110.85,1919376,683119
ABFRL,20200114,230.1,234.9,230.1,232.75,139700,80225
ABSLBANETF,20200114,321.21,321.21,319.01,319.01,3,1
ABSLFTSLRG,20200114,10.0,10.0,10.0,10.0,3000,3000
ABSLNN50ET,20200114,288.0,291.91,288.0,291.91,73,56
ACC,20200114,1527.0,1534.0,1510.55,1513.9,850556,499067
ACCELYA,20200114,1045.9,1045.9,1023.35,1025.35,6827,3072
ACCURACY,20200114,22.7,22.7,21.6,22.7,76800,75200
ACE,20200114,82.55,84.15,82.0,82.5,98904,53610
ADANIENT,20200114,213.45,215.5,211.85,214.35,1775182,237545
ADANIGAS,20200114,168.55,171.5,166.45,169.25,1181436,326242
ADANIGREEN,20200114,199.1,199.1,199.1,199.1,80682,80681
ADANIPORTS,20200114,391.0,392.6,386.0,389.2,1963128,661362
ADANIPOWER,20200114,62.4,63.25,62.1,62.45,5833027,1241081
ADANITRANS,20200114,335.4,337.5,331.4,333.05,68981,28353
ADFFOODS,20200114,299.15,301.5,296.85,298.1,17705,10543
ADHUNIKIND,20200114,45.15,45.45,43.6,44.25,11276,8889
ADORWELD,20200114,317.8,334.5,317.8,326.4,16625,8689
